tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_stopTime,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitingCount,tripinfo_waitingTime,emissions_CO2_abs,emissions_CO_abs,emissions_HC_abs,emissions_NOx_abs,emissions_PMx_abs,emissions_electricity_abs,emissions_fuel_abs
179.00,E6_0,92.80,12.77,86.00,5.00,-E3_0,12.10,0.00,tripinfo_81 emissions_81,93.00,81,0,287.80,1.00,0.00,70.62,bus,,2,46.00,1005270.165289,2265.686628,496.167496,8931.235898,233.109611,0,318014.568000
180.00,-E4_0,100.00,14.35,146.00,0.00,E1_0,5.10,0.00,tripinfo_146 emissions_146,34.00,146,0,294.80,1.08,0.00,13.38,taxi,,0,0.00,114300.736035,2095.748646,12.167233,47.133525,2.063354,0,36456.826030
188.00,-E4_0,100.00,13.18,109.00,0.00,-E2_0,2.30,0.00,tripinfo_109 emissions_109,79.00,109,0,292.43,1.15,0.00,59.75,motorcycle,,2,37.00,197846.465482,13405.553465,52.904365,44.074656,15.787302,0,63113.004248
188.00,E6_0,92.80,14.85,130.00,0.00,E5_0,2.30,0.00,tripinfo_130 emissions_130,58.00,130,0,197.70,1.09,0.00,44.93,motorcycle,,1,41.00,159295.895583,11187.999010,43.938815,35.538338,13.041886,0,50815.422472
189.00,E2_0,92.80,12.38,120.00,0.00,-E7_0,2.30,0.00,tripinfo_120 emissions_120,69.00,120,0,292.43,1.10,0.00,49.09,motorcycle,,1,41.00,169821.248357,11603.594957,45.728442,37.926321,13.609286,0,54172.918801
192.00,E7_0,100.00,9.46,96.00,0.00,-E3_0,2.30,0.00,tripinfo_96 emissions_96,96.00,96,0,397.70,0.89,0.00,62.52,motorcycle,,2,39.00,215476.748384,14239.002299,56.303983,48.313231,16.779990,0,68737.018970
193.00,E7_0,100.00,13.10,114.00,0.00,-E2_0,2.30,0.00,tripinfo_114 emissions_114,79.00,114,0,297.60,0.99,0.00,56.50,motorcycle,,2,32.00,172738.075988,12042.141818,47.246668,38.765129,13.971361,0,55103.549119
195.00,-E1_0,92.80,12.22,143.00,0.00,E5_0,5.10,0.00,tripinfo_143 emissions_143,52.00,143,0,189.53,0.93,0.00,35.99,taxi,,1,26.00,162256.324795,6365.569676,32.735682,70.842372,3.510961,0,51754.008071
198.00,E6_0,92.80,13.71,154.00,0.00,E4_0,5.10,0.00,tripinfo_154 emissions_154,44.00,154,0,295.00,1.00,0.00,22.67,taxi,,1,11.00,151878.422897,4214.618392,22.684191,64.187692,2.981667,0,48443.067576
199.00,E3_0,100.00,13.82,132.00,0.00,E5_0,5.10,0.00,tripinfo_132 emissions_132,67.00,132,0,294.80,1.02,0.00,45.19,taxi,,1,37.00,215796.230150,8090.711094,41.718968,92.853364,4.532531,0,68831.267391
